,Brand,Model,Year,Kilometers,No_of_owners,Fuel,Variant,Price
2391,Ford,Fiesta,2008,"75,000 km",2nd,Petrol,EXi 1.4 Ltd,"₹ 2,10,000"
2392,Honda,City,2010,"87,000 km",2nd,Petrol,i-VTEC V,"₹ 3,75,000"
2393,Hyundai,Fluidic Verna,2013,"98,000 km",2nd,Diesel,1.6 CRDi SX,"₹ 5,45,000"
2394,Fiat,Palio Stile,2007,"45,000 km",2nd,Petrol,1.1 SLX,"₹ 1,45,000"
2395,Hyundai,i20,2014,"85,000 km",2nd,Diesel,e i20 2014-2015 Asta Option 1.4 CRDi,"₹ 5,10,000"
2396,Maruti Suzuki,Swift,2014,"38,000 km",1st,Diesel,ZDi,"₹ 5,60,000"
2397,Land Rover,Range Rover Sport,2010,"64,000 km",1st,Diesel,Sport,"₹ 35,00,000"
2398,Toyota,Innova,2013,"320,000 km",3rd,Diesel,Innova Crysta 2.4 GX 8 STR,"₹ 5,30,000"
2399,Jeep,Compass,2017,"86,000 km",1st,Diesel,2.0 Limited Option,"₹ 15,90,000"
2400,Hyundai,Verna,2007,"70,500 km",2nd,Petrol,2006-2009 Xi (Petrol),"₹ 2,25,000"
2401,Fiat,Punto EVO,2014,"25,000 km",2nd,Petrol,1.2 Dynamic,"₹ 3,95,000"
2402,Hyundai,Santro Xing,2010,"61,000 km",2nd,Petrol,GL,"₹ 2,35,000"
2403,--,--,--,--,--,--,--,
2404,Mahindra,Scorpio,2008,"93,000 km",2nd,Diesel,S6,"₹ 4,80,000"
2405,Maruti Suzuki,Ritz,2013,"62,000 km",2nd,Petrol,LXi,"₹ 3,65,000"
2406,Mahindra,XUV500,2016,"86,000 km",1st,Diesel,W4,"₹ 7,90,000"
2407,Ford,Fiesta,2012,"122,739 km",--,Diesel,--,"₹ 3,70,000"
2408,--,--,--,--,--,--,--,--
2409,Maruti Suzuki,Swift Dzire,2019,"39,333 km",1st,Diesel,LDI,"₹ 5,50,000"
2410,Hyundai,i20 Active,2015,"114,000 km",1st,Diesel,1.4 SX,"₹ 5,95,000"
2411,Chevrolet,Cruze,2012,"75,000 km",1st,Diesel,LTZ,"₹ 5,95,000"
2412,Maruti Suzuki,Swift Dzire,2019,"47,000 km",1st,Diesel,LDI,"₹ 5,50,000"
2413,Honda,City,2009,"148,000 km",2nd,Petrol,VX CVT,"₹ 2,65,000"
2414,Maruti Suzuki,Wagon R 1.0,2014,"26,000 km",1st,Petrol,1.0 VXi,"₹ 3,75,000"
2415,Ford,Fiesta,2006,"90,000 km",3rd,Petrol,2004-2010 1.6 Duratec S,"₹ 1,30,000"
2416,Maruti Suzuki,Omni,1990,"66,000 km",2nd,Petrol,8 Seater BSIV,"₹ 60,000"
2417,Nissan,Micra,2011,"36,000 km",2nd,Petrol,2010-2012 XE,"₹ 2,25,000"
2418,Maruti Suzuki,800,1996,"104,500 km",3rd,Petrol,AC,"₹ 26,000"
2419,Hyundai,Getz Prime,2007,"113,000 km",4+,Petrol,Getz Prime 1.3 GLX,"₹ 1,70,000"
2420,--,--,--,--,--,--,--,"₹ 34,50,000"
2421,Toyota,Etios,2012,"180,000 km",2nd,Diesel,2010-2012 GD,"₹ 4,10,000"
2422,Maruti Suzuki,800,1996,"65,000 km",2nd,Petrol,DX,"₹ 50,000"
2423,Tata,Sumo,2002,"56,000 km",3rd,Diesel,SE Plus,"₹ 1,55,000"
2424,Hyundai,i20,2009,"107,000 km",3rd,Diesel,1.4 Asta,"₹ 2,80,000"
2425,Toyota,Innova,2018,"63,000 km",2nd,Diesel,2.5 VX 8 STR,"₹ 13,99,999"
2426,Maruti Suzuki,Ritz,2011,"98,000 km",1st,Diesel,VDi,"₹ 2,65,000"
2427,Tata,Zest,2015,"81,970 km",--,Diesel,--,"₹ 4,90,000"
2428,Maruti Suzuki,Baleno,2018,"50,000 km",3rd,Petrol,Delta Automatic,"₹ 6,75,000"
2429,Hyundai,Others,2021,1 km,--,Petrol,--,"₹ 6,89,211"
2430,Maruti Suzuki,Omni,2013,"65,000 km",4+,Petrol,Cargo LPG BS-III,"₹ 2,50,000"
2431,Toyota,Innova,2009,"100,000 km",2nd,Diesel,2004-2011 2.5 G (Diesel) 7 Seater BS IV,"₹ 5,70,000"
2432,Mercedes-Benz,New C-Class,2012,"90,000 km",1st,Diesel,220 BlueEfficiency,"₹ 16,00,000"
2433,Hyundai,Elite i20,2018,"23,000 km",1st,Diesel,Asta 1.4 CRDI,"₹ 8,80,000"
2434,Hyundai,Santro Xing,2009,"102,300 km",1st,Petrol,GLS,"₹ 2,15,000"
2435,Honda,Amaze,2014,"53,000 km",1st,Diesel,SX i DTEC,"₹ 4,50,000"
2436,Toyota,Qualis,2003,"440,000 km",4+,Diesel,FS F2,"₹ 2,20,000"
2437,Hyundai,i10,2009,"58,000 km",3rd,Petrol,1.2 Kappa SPORTZ,"₹ 2,50,000"
2438,San,Others,2000,"50,000 km",4th,Petrol,Others,"₹ 75,000"
2439,Maruti Suzuki,Swift,2020,"32,000 km",1st,Petrol,VXI,"₹ 6,85,000"
2440,Maruti Suzuki,Eeco,2014,"64,520 km",2nd,Petrol,5 STR WITH A/C+HTR,"₹ 2,85,000"
2441,Chevrolet,Beat,2012,"83,000 km",1st,Diesel,LS,"₹ 1,85,000"
2442,Honda,Jazz,2015,"31,000 km",2nd,Petrol,1.2 E i VTEC,"₹ 5,00,000"
2443,Maruti Suzuki,Swift,2012,"70,000 km",2nd,Petrol,2011-2014 VXI,"₹ 4,65,000"
2444,--,--,--,--,--,--,--,--
2445,Force Motors,Others,2018,"110,000 km",1st,Diesel,Others,"₹ 9,50,000"
2446,Chevrolet,Beat,2012,"42,000 km",2nd,Diesel,2010-2013 Diesel LT,"₹ 2,65,000"
2447,Hyundai,Grand i10,2017,"32,077 km",--,Petrol,Asta 1.2 Kappa VTVT,"₹ 5,65,000"
2448,Skoda,Rapid,2012,"116,158 km",1st,Diesel,2011-2013 1.6 MPI Ambition Plus,"₹ 4,30,000"
2449,Volkswagen,CrossPolo,2013,"75,371 km",2nd,Diesel,1.5 TDI,"₹ 4,75,000"
2450,Hyundai,i20,2013,"49,000 km",2nd,Diesel,2012-2014 Magna Optional 1.4 CRDi,"₹ 4,30,000"
2451,Maruti Suzuki,Omni,2013,"67,000 km",2nd,Petrol,E MPI STD BSIV,"₹ 2,25,000"
2452,Maruti Suzuki,Alto K10,2015,"41,000 km",1st,Petrol,VXI AMT Optional,"₹ 3,10,000"
2453,Fiat,Grande Punto,2013,"76,000 km",1st,Diesel,2009-2013 1.3 Emotion Pack 90HP (Diesel),"₹ 2,95,000"
2454,Nissan,X-Trail,2008,"85,000 km",2nd,Diesel,2004-2009 Elegance,"₹ 9,00,000"
2455,Honda,Amaze,2016,"160,000 km",1st,Diesel,1.5 SMT I DTEC,"₹ 3,70,000"
2456,Toyota,Etios,2013,"69,317 km",--,Diesel,--,"₹ 4,55,000"
2457,Toyota,Etios,2013,"69,317 km",--,Diesel,--,"₹ 4,55,000"
2458,Hyundai,Verna,2013,"84,244 km",--,Petrol,--,"₹ 5,85,000"
2459,Hyundai,Verna,2013,"84,244 km",--,Petrol,--,"₹ 5,85,000"
2460,Maruti Suzuki,Zen,2000,"60,000 km",4+,Petrol,LX - BS III,"₹ 53,000"
2461,Mahindra,XUV500,2012,"85,000 km",2nd,Diesel,W8 2WD,"₹ 7,45,000"
2462,Toyota,Innova Crysta,2016,"49,750 km",--,Diesel,2.4 VX MT,"₹ 18,00,000"
2463,--,--,--,--,--,--,--,"₹ 2,500"
2464,Maruti Suzuki,Wagon R,2014,"39,000 km",1st,Petrol,VXI BS IV,"₹ 4,45,000"
2465,Other Brands,Others,2021,0 km,1st,Diesel,Others,"₹ 18,500"
2466,Volkswagen,Vento,2011,"147,000 km",2nd,Diesel,2010-2013 Diesel Trendline,"₹ 4,50,000"
2467,Toyota,Innova,2010,"180,000 km",2nd,Diesel,2.5 V 8 STR,"₹ 8,65,000"
2468,Renault,KWID,2019,"10,427 km",1st,Petrol,RXT,"₹ 5,25,000"
2469,Honda,Jazz,2017,"37,000 km",1st,Petrol,V Automatic,"₹ 8,00,000"
2470,Mahindra,Bolero,2014,"80,000 km",2nd,Diesel,ZLX,"₹ 5,25,000"
2471,Chevrolet,Beat,2011,"70,000 km",2nd,Petrol,2010-2013 LS,"₹ 2,10,000"
2472,--,--,--,--,--,--,--,
2473,Maruti Suzuki,Swift Dzire,2011,"86,000 km",--,Petrol,--,"₹ 3,20,000"
2474,Hyundai,i20,2009,"54,000 km",2nd,Petrol,Magna Plus,"₹ 3,30,000"
2475,Maruti Suzuki,Wagon R,2016,"50,200 km",1st,Petrol,LXI Opt,"₹ 3,60,000"
2476,Maruti Suzuki,Wagon R,2007,"100,000 km",2nd,Petrol,LXI,"₹ 1,75,000"
2477,Volkswagen,Polo,2020,"30,000 km",1st,Petrol,1.0 MPI Highline Plus,"₹ 8,90,000"
2478,Maruti Suzuki,Swift Dzire,2014,"130,000 km",3rd,Diesel,VDI,"₹ 3,80,000"
2479,Ford,Ikon,2003,"99,000 km",--,Petrol,1.6 SXi NXt,"₹ 90,000"
2480,Maruti Suzuki,Swift,2007,"104,000 km",3rd,Diesel,2004-2010 VDI BSIV,"₹ 2,50,000"
2481,Maruti Suzuki,Alto,2006,"80,000 km",2nd,Petrol,2000-2005 LXi BSII,"₹ 70,000"
2482,Toyota,Innova,2008,"275,000 km",4+,Diesel,2004-2011 2.5 G4 Diesel 7-seater,"₹ 5,50,000"
2483,--,--,--,--,--,--,--,--
2484,Maruti Suzuki,Eeco,2021,"3,458 km",1st,Petrol,7 Seater Standard,"₹ 5,15,000"
2485,Renault,KWID,2018,"6,000 km",1st,Petrol,1.0 RXT AMT Opt,"₹ 4,25,000"
2486,Maruti Suzuki,Eeco,2017,"52,000 km",1st,Petrol,Smiles 7 Seater Standard,"₹ 3,85,000"
2487,Skoda,Rapid,2017,"53,000 km",1st,Diesel,1.5 TDI Ambition,"₹ 8,55,000"
2488,Ford,Ecosport,2015,"87,774 km",--,Petrol,--,"₹ 6,39,000"
2489,Maruti Suzuki,Ritz,2013,"98,413 km",1st,Petrol,VDi,"₹ 3,95,000"
2490,Hyundai,Xcent,2019,"40,000 km",1st,Diesel,1.2 CRDi E,"₹ 4,20,000"
2491,Maruti Suzuki,Celerio,2014,"24,000 km",1st,Petrol,ZXI MT,"₹ 4,25,000"
2492,Maruti Suzuki,Zen Estilo,2007,"67,000 km",2nd,Petrol,VXI BSIII,"₹ 1,79,000"
2493,Hyundai,Getz Prime,2007,"62,000 km",2nd,Petrol,Getz Prime 1.1 GVS,"₹ 1,85,000"
2494,Maruti Suzuki,Swift Dzire,2018,"49,000 km",1st,Diesel,LDI,"₹ 4,60,000"
2495,Maruti Suzuki,Swift Dzire,2019,"22,459 km",1st,Diesel,LDI,"₹ 5,70,000"
2496,Maruti Suzuki,Swift Dzire,2018,"54,936 km",1st,Diesel,LDI,"₹ 4,60,000"
2497,Maruti Suzuki,Swift Dzire,2019,"46,931 km",1st,Diesel,LDI,"₹ 5,30,000"
2498,Mahindra,XUV500,2016,"141,000 km",1st,Diesel,W8 2WD,"₹ 9,00,000"
2499,Honda,Civic,2007,"135,000 km",2nd,Petrol,CVT i-vtec,"₹ 1,60,000"
2500,Honda,Jazz,2016,"70,000 km",2nd,Diesel,1.5 V i DTEC,"₹ 5,25,000"
2501,Honda,City,1999,"160,000 km",3rd,Petrol,1997-2006 1.3 LXI,"₹ 1,70,000"
2502,Tata,Tiago,2016,"20,000 km",1st,Petrol,1.2 Revotron XZ,"₹ 4,00,000"
2503,--,--,--,--,--,--,--,--
2504,--,--,--,--,--,--,--,
2505,--,--,--,--,--,--,--,
2506,Honda,Others,2017,"46,000 km",1st,Petrol,Others,"₹ 45,000"
2507,Honda,City ZX,2009,"56,000 km",1st,Petrol,VTEC Plus,"₹ 2,95,000"
2508,Audi,A4,2017,"50,400 km",--,Diesel,Others,"₹ 33,50,000"
2509,Hyundai,Creta,2015.0,"116,000 km",1st,Diesel,--,"₹ 10,25,000"
2510,Honda,Civic,2007,"78,000 km",4+,Petrol,CVT i-vtec,"₹ 1,80,000"
2511,Maruti Suzuki,Zen,2006,"100,000 km",2nd,Petrol,LXi - BS III,"₹ 1,90,000"
2512,Hyundai,Santro Xing,2011,"39,600 km",1st,Petrol,GLS,"₹ 2,95,000"
2513,Hyundai,Santro Xing,2015,"76,900 km",1st,Petrol,GLS,"₹ 3,45,000"
2514,Hyundai,i10,2008,"88,000 km",2nd,Petrol,Magna,"₹ 2,50,000"
2515,Renault,KWID,2018,"48,000 km",1st,Petrol,1.0 RXT Optional,"₹ 3,75,000"
2516,Chevrolet,Beat,2010,"68,000 km",1st,Petrol,LT,"₹ 2,50,000"
2517,Hyundai,i10,2009,"70,000 km",3rd,Petrol,Magna,"₹ 2,54,000"
2518,Chevrolet,Sail U-VA,2013,"60,000 km",1st,Petrol,1.3 LS,"₹ 2,79,000"
2519,Hyundai,Verna,2013,"60,000 km",2nd,Diesel,2011-2014 1.6 SX CRDi (O),"₹ 6,50,000"
2520,Mahindra,Xylo,2012,"82,000 km",1st,Diesel,E8 BS-III,"₹ 4,90,000"
2521,Tata,Indica V2,2014,"123,000 km",2nd,Diesel,V2 LS,"₹ 85,000"
2522,Other Brands,Others,2018,"17,000 km",2nd,Petrol,--,"₹ 1,20,000"
2523,Maruti Suzuki,Alto 800,2016,"34,600 km",1st,Petrol,2012-2016 VXI,"₹ 2,95,000"
2524,Fiat,Linea,2009,"95,000 km",4+,Diesel,2007-2013 Emotion (Diesel),"₹ 1,55,000"
2525,--,--,--,--,--,--,--,"₹ 3,500"
2526,Mahindra,Scorpio,2007,"130,000 km",3rd,Diesel,2009-2014 2.6 CRDe SLE,"₹ 3,10,000"
2527,Maruti Suzuki,Wagon R,2008,"81,000 km",3rd,Petrol,2006-2010 LXI Minor,"₹ 1,99,999"
2528,Maruti Suzuki,Ertiga,2014,"59,000 km",2nd,Diesel,VDI,"₹ 6,60,000"
2529,Hyundai,Grand i10,2017,36 km,1st,Petrol,1.2 Kappa Sportz Option AT,"₹ 5,80,000"
2530,Honda,City,2018,"33,000 km",1st,Petrol,i-VTEC S,"₹ 7,65,000"
2531,Maruti Suzuki,Omni,2011,"75,000 km",3rd,Petrol,MPI CARGO BSIV,"₹ 95,000"
2532,Mitsubishi,Lancer,2001,"160,000 km",2nd,Diesel,1.5 GLXi,"₹ 1,70,000"
2533,Toyota,Etios,2018,"820,000 km",1st,Diesel,Etios GD SP*,"₹ 6,20,000"
2534,Honda,Civic,2007,"85,000 km",2nd,Petrol,Others,"₹ 1,35,000"
2535,Ford,Figo,2010,"66,000 km",2nd,Petrol,2010-2012 Petrol ZXI,"₹ 2,45,000"
2536,Tata,H2X,2013,"47,099 km",2nd,Diesel,Others,"₹ 7,00,000"
2537,BMW,7 Series,2010,"78,000 km",1st,Diesel,730Ld,"₹ 14,50,000"
2538,Ford,Figo,2010,"145,000 km",1st,Petrol,2010-2012 Petrol ZXI,"₹ 2,60,000"
2539,Hyundai,Grand i10,2018,"6,000 km",1st,Petrol,2016-2017 Magna,"₹ 5,30,000"
2540,Nissan,Terrano,2013,"73,000 km",1st,Diesel,2013-2017 XL,"₹ 6,90,000"
2541,Tata,Indica Vista,2015,"88,000 km",1st,Diesel,2008-2013 TDI LS,"₹ 4,99,999"
2542,Honda,Brio,2014,"55,000 km",1st,Petrol,1.2 VX AT,"₹ 4,95,000"
2543,Hyundai,i10,2011,"28,000 km",1st,Petrol,1.2 Kappa Magna,"₹ 3,09,000"
2544,Maruti Suzuki,Swift,2018,"30,000 km",1st,Diesel,2018 LDI,"₹ 6,20,000"
2545,Nissan,Micra,2010,"80,000 km",4th,Petrol,XL Petrol,"₹ 2,99,000"
2546,Hyundai,EON,2014,"40,000 km",2nd,Petrol,Era +,"₹ 2,75,000"
2547,--,--,--,--,--,--,--,--
2548,Datsun,Redi Go,2020,"2,202 km",--,Petrol,--,"₹ 4,30,000"
2549,Maruti Suzuki,Swift Dzire,2016,"39,000 km",1st,Diesel,VDI Optional,"₹ 6,75,000"
2550,Maruti Suzuki,Swift Dzire,2012,0 km,3rd,Diesel,LDI,"₹ 2,35,000"
2551,Hyundai,EON,2019,"29,000 km",1st,Petrol,Magna +,"₹ 4,25,000"
2552,Maruti Suzuki,Swift,2012,"51,000 km",1st,Petrol,2011-2014 VXI,"₹ 3,50,000"
2553,Maruti Suzuki,Swift,2010,"110,000 km",1st,Diesel,2004-2010 Vdi BSIII,"₹ 2,95,000"
2554,Maruti Suzuki,Omni,2014,"60,000 km",1st,Petrol,8 Seater BSII,"₹ 60,000"
2555,Maruti Suzuki,Ertiga,2018,"78,000 km",1st,Diesel,2012-2015 ZDI Plus,"₹ 11,50,000"
2556,Mahindra,Xylo,2009,"93,000 km",3rd,Diesel,E8 BS-III,"₹ 3,10,000"
2557,Tata,Nano,2009,"23,475 km",4+,Petrol,2009-2011 Lx,"₹ 77,000"
2558,Hyundai,i10,2007,"67,000 km",2nd,Petrol,2007-2010 Era 1.1,"₹ 2,30,000"
2559,Volkswagen,Ameo,2016,"41,000 km",1st,Diesel,1.5 TDI Highline AT,"₹ 6,45,000"
2560,Maruti Suzuki,Ertiga,2012,"117,000 km",3rd,Diesel,2012-2015 VDI Limited Edition,"₹ 5,30,000"
2561,Hyundai,EON,2012,"26,123 km",--,Petrol,Era,"₹ 2,45,000"
2562,Maruti Suzuki,Swift,2012,"72,000 km",2nd,Diesel,VDI,"₹ 4,25,000"
2563,Renault,Duster,2012,"95,000 km",1st,Diesel,2012-2015 110PS Diesel-RxZ,"₹ 6,75,000"
2564,Maruti Suzuki,Swift,2008,"42,000 km",3rd,Petrol,2004-2010 1.3 ZXI,"₹ 3,40,000"
2565,Maruti Suzuki,Zen,2002,"100,000 km",4+,Petrol,LX,"₹ 1,35,000"
2566,Maruti Suzuki,Omni,2003,"57,000 km",4+,Petrol,5 STR BS-III,"₹ 1,20,000"
2567,Maruti Suzuki,Celerio,2014,"46,925 km",--,Petrol,VXI AMT,"₹ 3,99,000"
2568,Mahindra,Scorpio,2010,"98,000 km",2nd,Diesel,2009-2014 VLX 2WD BSIV,"₹ 5,25,000"
2569,Mahindra,Scorpio,2010,"82,000 km",2nd,Diesel,2002-2013 VLS 2.2 mHawk,"₹ 4,59,000"
2570,Maruti Suzuki,Esteem,2006,"100,000 km",3rd,Petrol,Vxi - BSIII,"₹ 1,38,000"
2571,Ford,Endeavour,2017,"31,000 km",1st,Diesel,3.2 Titanium AT 4X4,"₹ 30,00,000"
2572,Toyota,Fortuner,2019,"59,000 km",1st,Diesel,2.8 AT Celebratory Edition,"₹ 31,75,000"
2573,Maruti Suzuki,Swift,2010,"222,000 km",2nd,Diesel,2004-2010 VDI BSIV,"₹ 3,00,000"
2574,Maruti Suzuki,Swift,2010,"86,000 km",3rd,Petrol,2004-2010 LXi BSIV,"₹ 2,70,000"
2575,Maruti Suzuki,Alto 800,2019,"16,400 km",1st,Petrol,VXI Airbag,"₹ 3,80,000"
2576,Ford,Figo,2012,"76,500 km",1st,Diesel,2010-2012 Diesel Titanium,"₹ 2,80,000"
2577,Volkswagen,Polo,2019,"16,900 km",1st,Petrol,1.0 MPI Highline Plus,"₹ 8,90,000"
2578,Hyundai,Santro,2011,"79,000 km",2nd,Petrol,LS,"₹ 2,45,000"
2579,Maruti Suzuki,Ertiga,2014,"41,000 km",1st,--,VXI,"₹ 6,20,000"
2580,Maruti Suzuki,Ertiga,2013,"52,000 km",1st,Diesel,VDI,"₹ 7,20,000"
2581,Maruti Suzuki,Vitara Brezza,2020,"36,000 km",1st,Petrol,Others,"₹ 10,50,000"
2582,Maruti Suzuki,800,2006,"40,000 km",1st,Petrol,AC BSIII,"₹ 1,50,000"
2583,Honda,City,2013,"69,000 km",1st,Petrol,2011-2013 1.5 V MT Sunroof,"₹ 5,75,000"
2584,Hyundai,EON,2013,"59,685 km",1st,Petrol,D Lite Plus,"₹ 3,25,000"
2585,Toyota,Innova,2016,"195,000 km",2nd,Diesel,2.5 EV (Diesel) PS 8 Seater BS IV,"₹ 7,45,000"
2586,Chevrolet,Captiva,2011,"83,000 km",3rd,Diesel,LTZ AWD Xtreme,"₹ 4,25,000"
2587,Ford,Endeavour,2018,"40,000 km",1st,Diesel,--,"₹ 31,00,000"
2588,Mercedes-Benz,CL-Class,2014,"51,000 km",2nd,Diesel,Others,"₹ 15,50,000"
2589,--,--,--,--,--,--,--,--
2590,Hyundai,Accent,2010,"72,000 km",1st,Petrol,GLE,"₹ 2,50,000"
2591,Hyundai,Creta,2015,"62,000 km",2nd,Diesel,1.6 SX,"₹ 8,50,000"
2592,Mahindra,Marazzo,2019,"68,000 km",1st,Diesel,M2 8Str,"₹ 7,20,000"
2593,Maruti Suzuki,Swift,2017,"44,000 km",1st,Petrol,VXI,"₹ 6,00,000"
2594,Tata,Nexon,2018,"30,274 km",1st,Diesel,1.5 Revotorq XZA Plus DualTone,"₹ 10,50,000"
2595,Toyota,Fortuner,2017,"63,000 km",1st,Diesel,2011-2016 4x4 MT,"₹ 32,50,000"
2596,Hyundai,Xcent,2014,"58,000 km",2nd,Petrol,SX Automatic 1.2 (O),"₹ 4,30,000"
2597,Honda,City,2000,"89,000 km",3rd,Petrol,2000-2003 1.5 EXI,"₹ 1,85,000"
2598,Maruti Suzuki,Ertiga,2014,"125,000 km",1st,Diesel,2012-2015 ZDI,"₹ 7,25,000"
2599,Tata,Nexon,2018,"8,000 km",1st,Diesel,1.5 Revotorq XZA Plus DualTone,"₹ 11,49,000"
2600,Hyundai,Grand i10,2018,"14,300 km",1st,Petrol,1.2 Kappa Sportz Option,"₹ 5,85,000"
2601,Honda,Amaze,2015,"70,000 km",3rd,Diesel,1.5 SMT I DTEC,"₹ 2,50,000"
2602,Maruti Suzuki,Ertiga,2014,"127,000 km",1st,Diesel,ZDI,"₹ 7,25,000"
2603,Maruti Suzuki,Wagon R,2017,"78,000 km",1st,Diesel,VXI,"₹ 4,05,000"
2604,Hyundai,i20,2012,"83,000 km",3rd,Petrol,2010-2012 1.2 Magna,"₹ 3,75,000"
2605,Tata,Estate,1996,"138,500 km",3rd,Diesel,Std,"₹ 1,75,000"
2606,Volkswagen,Polo,2015,"81,000 km",1st,Petrol,1.2 MPI Comfortline,"₹ 5,35,000"
2607,Honda,Civic,2008,"79,000 km",1st,Petrol,1.8 V MT,"₹ 3,40,000"
2608,Toyota,Innova Crysta,2018,"45,000 km",1st,Diesel,2.4 GX MT,"₹ 17,25,000"
2609,Mercedes-Benz,GLA Class,2019,"50,000 km",1st,Diesel,2014-2017 220 D 4MATIC Activity Edition,"₹ 32,50,000"
2610,Jaguar,XF,2015,"60,000 km",2nd,Diesel,2.2 Diesel,"₹ 23,00,000"
2611,--,--,--,--,--,--,--,--
2612,Maruti Suzuki,Ertiga,2012,"64,777 km",2nd,Diesel,ZDI,"₹ 6,29,000"
2613,Mahindra,XUV500,2017,"53,000 km",1st,Diesel,W10 2WD,"₹ 15,50,000"
2614,Maruti Suzuki,Swift Dzire,2016,"25,000 km",1st,Petrol,1.2 Vxi BSIV,"₹ 5,75,000"
2615,Maruti Suzuki,Ertiga,2013,"62,000 km",2nd,Diesel,ZDI,"₹ 6,75,000"
2616,Hyundai,Verna,2018,"27,062 km",1st,Diesel,Fluidic 1.6 CRDi SX Opt,"₹ 11,50,000"
2617,Toyota,Qualis,2004,"172,000 km",2nd,Diesel,GS G8,"₹ 1,55,000"
2618,Hyundai,i10,2016,"26,000 km",1st,Petrol,Sportz 1.1 iRDE2,"₹ 4,45,000"
2619,Maruti Suzuki,Swift Dzire,2020,"29,000 km",1st,CNG & Hybrids,Swift Dzire Tour,"₹ 5,60,000"
2620,Audi,A6,2015,"75,000 km",2nd,Diesel,35 TDI MATRIX EDITION,"₹ 20,00,000"
2621,Maruti Suzuki,Wagon R,2006,"76,000 km",2nd,Petrol,1999-2006 LXI,"₹ 1,85,000"
2622,Ashok Leyland,Stile,2021,786 km,1st,Diesel,LX,"₹ 15,000"
2623,Maruti Suzuki,Alto K10,2018,"31,300 km",1st,Petrol,VXI,"₹ 3,25,000"
2624,Maruti Suzuki,Swift,2013,"110,000 km",2nd,Petrol,2011-2014 ZXI,"₹ 4,35,000"
2625,Maruti Suzuki,Alto,2002,"93,000 km",4th,Petrol,2000-2005 LXI,"₹ 1,20,000"
2626,Renault,Lodgy,2018,"32,000 km",1st,Diesel,Stepway 110PS RXZ 8S,"₹ 7,70,000"
2627,Maruti Suzuki,Esteem,2006,"55,000 km",2nd,Petrol,Lxi,"₹ 1,75,000"
2628,Maruti Suzuki,Baleno,2017,"36,016 km",2nd,Petrol,1.2 Zeta,"₹ 6,35,000"
2629,Hyundai,Elite i20,2018,"65,000 km",1st,Petrol,Sportz (O) 1.2,"₹ 7,45,000"
2630,Maruti Suzuki,Alto,2007,"33,000 km",1st,Petrol,LXi,"₹ 1,85,000"
2631,Maruti Suzuki,Baleno,2018,"18,000 km",1st,Petrol,Zeta,"₹ 7,35,000"
2632,--,--,--,--,--,--,--,--
2633,Maruti Suzuki,Swift Dzire,2008,"128,000 km",3rd,Petrol,ZXI,"₹ 2,65,000"
2634,Volkswagen,Polo,2013,"89,000 km",2nd,Diesel,2009-2013 Diesel Highline 1.2L,"₹ 3,25,000"
2635,Chevrolet,Beat,2011,"130,000 km",1st,Diesel,2010-2013 Diesel LS,"₹ 2,18,000"
2636,Maruti Suzuki,Celerio,2017,"29,000 km",1st,Petrol,2014-2017 VXI AT,"₹ 4,70,000"
2637,Hyundai,Verna,2006,"76,250 km",1st,Diesel,2010-2011 Transform VGT CRDi,"₹ 2,50,000"
2638,Toyota,Innova,2010,"179,000 km",2nd,Diesel,2.5 V 8 STR,"₹ 6,75,000"
2639,Ambassador,Ambassador,2008,"80,000 km",1st,Petrol,Classic Nova Petrol,"₹ 1,30,000"
2640,--,--,--,--,--,--,--,"₹ 1,000"
2641,Toyota,Innova,2012,"155,000 km",2nd,Diesel,2.5 EV Diesel PS 8 Seater BSIII,"₹ 8,00,000"
2642,Maruti Suzuki,Omni,2011,"35,000 km",1st,Petrol,8 Seater BSIV,"₹ 40,000"
2643,Mahindra,Bolero,2015,"87,000 km",1st,Diesel,ZLX,"₹ 6,60,000"
2644,Maruti Suzuki,Omni,2013,"35,000 km",1st,Petrol,8 Seater BSIV,"₹ 40,000"
2645,Maruti Suzuki,Ciaz,2019,"13,902 km",1st,Petrol,Alpha Automatic,"₹ 10,99,000"
2646,Renault,KWID,2016,"34,136 km",--,Petrol,RXT,"₹ 3,55,000"
2647,BMW,X1,2012,"100,000 km",3rd,Diesel,xDrive 20d M Sport,"₹ 12,50,000"
2648,Maruti Suzuki,Swift,2017,"36,000 km",1st,Petrol,VXI Optional,"₹ 6,50,000"
2649,Maruti Suzuki,Swift Dzire Tour,2015,"150,000 km",1st,Diesel,Others,"₹ 3,00,000"
2650,Hyundai,Santro,2004,"700,000 km",4th,Petrol,GLS I - Euro II,"₹ 2,90,000"
2651,Other Brands,Others,2013,"35,000 km",4th,LPG,--,"₹ 60,000"
2652,Maruti Suzuki,Swift,2007,"99,000 km",3rd,Petrol,2011-2014 LDI,"₹ 2,10,000"
2653,Tata,Indigo Ecs,2015,"210,632 km",2nd,Diesel,eCS LS TDI,"₹ 2,10,000"
2654,Ford,Fiesta,2006,"125,529 km",2nd,Diesel,2004-2010 1.4 Duratec ZXI,"₹ 1,38,500"
2655,Honda,Civic,2008,"62,275 km",1st,Petrol,1.8 V MT,"₹ 4,00,000"
2656,Maruti Suzuki,Swift,2007,"70,000 km",3rd,Petrol,VXI,"₹ 2,30,000"
